Magnetic Field.X,Magnetic Field.Y,Magnetic Field.Z,,Measured Magnetic Field Vector.X,Measured Magnetic Field Vector.Y,Magnetic Field Vector.Z,,,Declination,Geocentric Latitude,Geodetic Latitude,Altitude
-1552,2.66E+04,-2.61E+04,,-1.53E-06,2.66E-05,-2.61E-05,,,-51.55,-51.55,-51.72,434.3
2.10E+04,-5774,-3.08E+04,,2.10E-05,-5.79E-06,-3.08E-05,,,-51.51,-51.51,-51.68,434.3
-8325,-2.63E+04,-2.62E+04,,-8.33E-06,-2.63E-05,-2.62E-05,,,-51.46,-51.46,-51.63,434.2
-1.91E+04,8582,-3.22E+04,,-1.91E-05,8.58E-06,-3.22E-05,,,-51.4,-51.4,-51.58,434.2
1.51E+04,2.60E+04,-2.44E+04,,1.51E-05,2.60E-05,-2.45E-05,,,-51.33,-51.33,-51.51,434.2
1.00E+04,-1.38E+04,-3.52E+04,,1.00E-05,-1.38E-05,-3.52E-05,,,-51.26,-51.26,-51.43,434.2
-1.76E+04,-2.96E+04,-1.93E+04,,-1.75E-05,-2.96E-05,-1.93E-05,,,-51.17,-51.17,-51.35,434.1
-552.8,2.07E+04,-3.40E+04,,-5.48E-07,2.07E-05,-3.40E-05,,,-51.08,-51.08,-51.25,434.1
1.09E+04,3.25E+04,-2.09E+04,,1.08E-05,3.25E-05,-2.09E-05,,,-50.97,-50.97,-51.15,434.1
-5864,-3.14E+04,-2.49E+04,,-5.86E-06,-3.14E-05,-2.49E-05,,,-50.86,-50.86,-51.04,434
-2338,-2.98E+04,-2.78E+04,,-2.34E-06,-2.98E-05,-2.78E-05,,,-50.74,-50.74,-50.92,434
-1251,3.77E+04,-1.64E+04,,-1.24E-06,3.77E-05,-1.64E-05,,,-50.61,-50.61,-50.79,433.9
-403.9,1.62E+04,-3.82E+04,,-3.79E-07,1.62E-05,-3.82E-05,,,-50.47,-50.47,-50.65,433.9
1.44E+04,-3.57E+04,-1.64E+04,,1.44E-05,-3.56E-05,-1.64E-05,,,-50.33,-50.33,-50.5,433.8
-1.31E+04,-5174,-3.97E+04,,-1.31E-05,-5.15E-06,-3.97E-05,,,-50.17,-50.17,-50.35,433.7
-1.81E+04,2.48E+04,-2.92E+04,,-1.81E-05,2.48E-05,-2.92E-05,,,-50.01,-50.01,-50.19,433.7
2.65E+04,9674,-3.21E+04,,2.65E-05,9.67E-06,-3.21E-05,,,-49.84,-49.84,-50.02,433.6
545.3,-2.07E+04,-3.77E+04,,5.55E-07,-2.07E-05,-3.77E-05,,,-49.66,-49.66,-49.84,433.5
