Magnetic Field.X,Magnetic Field.Y,Magnetic Field.Z,,Magnetometer X,Magnetometer Y,Magnetometer Z,,,,
-2.92E+04,-1.70E+04,-1.59E+04,,-2.92E-05,-1.71E-05,-1.59E-05,,0.00E+00,1.50E+01,2.60E+01
-3.73E+04,-2035,-4954,,-3.73E-05,-2.05E-06,-4.98E-06,,0.00E+00,0.00E+00,1.00E+02
-3.14E+04,1.29E+04,-1.71E+04,,-3.14E-05,1.29E-05,-1.72E-05,,0.00E+00,0.00E+00,1.00E+02
-1.12E+04,1.02E+04,-3.53E+04,,-1.12E-05,1.02E-05,-3.54E-05,,0.00E+00,2.40E+01,0.00E+00
1.54E+04,-4406,-3.53E+04,,1.54E-05,-4.43E-06,-3.53E-05,,0.00E+00,0.00E+00,0.00E+00
3.17E+04,-1.81E+04,-1.41E+04,,3.17E-05,-1.81E-05,-1.41E-05,,0.00E+00,0.00E+00,0.00E+00
2.60E+04,-2.72E+04,1.19E+04,,2.60E-05,-2.72E-05,1.19E-05,,-1.00E+01,0.00E+00,0.00E+00
2460,-3.31E+04,2.20E+04,,2.47E-06,-3.31E-05,2.20E-05,,0.00E+00,0.00E+00,-6.00E+00
-2.17E+04,-3.30E+04,7054,,-2.17E-05,-3.30E-05,7.06E-06,,0.00E+00,1.00E+02,0.00E+00
-2.95E+04,-1.81E+04,-2.10E+04,,-2.95E-05,-1.82E-05,-2.10E-05,,0.00E+00,0.00E+00,0.00E+00
-1.80E+04,1.24E+04,-3.45E+04,,-1.80E-05,1.24E-05,-3.45E-05,,-1.30E+01,0.00E+00,0.00E+00
3187,3.64E+04,-1.88E+04,,3.20E-06,3.64E-05,-1.88E-05,,-1.00E+02,1.00E+02,-2.60E+01
2.53E+04,3.28E+04,2294,,2.54E-05,3.27E-05,2.32E-06,,0.00E+00,-1.00E+02,-2.26E+01
3.96E+04,1.33E+04,-944.6,,3.96E-05,1.34E-05,-9.22E-07,,-1.00E+02,-2.51E+01,0.00E+00
3.45E+04,715.9,-2.41E+04,,3.46E-05,7.41E-07,-2.41E-05,,-3.80E+01,-2.04E+01,0.00E+00
8722,-284.4,-4.15E+04,,8.76E-06,-2.64E-07,-4.15E-05,,0.00E+00,2.00E+00,0.00E+00
-2.29E+04,4662,-3.57E+04,,-2.29E-05,4.66E-06,-3.57E-05,,0.00E+00,0.00E+00,0.00E+00
-3.96E+04,1.32E+04,-1.04E+04,,-3.96E-05,1.32E-05,-1.04E-05,,0.00E+00,0.00E+00,0.00E+00
-3.11E+04,2.70E+04,1.34E+04,,-3.11E-05,2.70E-05,1.34E-05,,-6.00E+00,0.00E+00,0.00E+00
-5816,4.13E+04,1.27E+04,,-5.81E-06,4.13E-05,1.27E-05,,0.00E+00,1.00E+02,0.00E+00
1.79E+04,3.79E+04,-1.32E+04,,1.79E-05,3.78E-05,-1.32E-05,,-1.00E+02,2.10E+01,0.00E+00
2.91E+04,5701,-3.27E+04,,2.92E-05,5.68E-06,-3.27E-05,,0.00E+00,0.00E+00,0.00E+00
2.62E+04,-3.10E+04,-1.81E+04,,2.62E-05,-3.10E-05,-1.81E-05,,-1.50E+01,0.00E+00,0.00E+00
6925,-4.24E+04,1.24E+04,,6.94E-06,-4.24E-05,1.24E-05,,0.00E+00,1.00E+02,0.00E+00
-2.22E+04,-3.17E+04,2.28E+04,,-2.22E-05,-3.18E-05,2.28E-05,,-1.00E+02,0.00E+00,-4.00E+00
-4.18E+04,-1.70E+04,3306,,-4.17E-05,-1.70E-05,3.31E-06,,0.00E+00,-1.30E+01,0.00E+00
-3.52E+04,-5883,-2.82E+04,,-3.52E-05,-5.87E-06,-2.82E-05,,-2.60E+01,2.50E+01,0.00E+00
-4636,2885,-4.54E+04,,-4.61E-06,2.86E-06,-4.54E-05,,0.00E+00,1.00E+01,0.00E+00
2.97E+04,7210,-3.43E+04,,2.97E-05,7.20E-06,-3.43E-05,,-1.00E+02,-6.00E+00,1.00E+01
4.56E+04,-2266,-6280,,4.57E-05,-2.26E-06,-6.29E-06,,0.00E+00,0.00E+00,-1.00E+00
3.69E+04,-2.71E+04,7239,,3.69E-05,-2.71E-05,7.24E-06,,0.00E+00,-1.00E+02,0.00E+00
1.29E+04,-4.32E+04,-1.17E+04,,1.29E-05,-4.31E-05,-1.17E-05,,0.00E+00,0.00E+00,0.00E+00
-1.56E+04,-2.61E+04,-3.55E+04,,-1.56E-05,-2.61E-05,-3.55E-05,,0.00E+00,-4.00E+00,0.00E+00
